192243	181	4007
192240	3980	3762
192242	3980	4010
192246	3980	4899
192241	847	3525
192251	4597	4204
192245	3920	3588
192247	3980	4341
192250	4597	4464
192249	3980	184
192248	3980	3986
192259	4395	4076
192252	847	3987
192256	188	67
192260	188	4931
192258	4597	3962
192257	188	3179
192254	847	3056
192255	3980	3988
192253	3920	3884
192268	576	582
192266	3920	3555
192269	4395	4215
192272	181	3917
192274	4597	3236
192340	4397	3175
192262	847	3940
192295	4397	4128
192327	3980	584
192357	4397	4894
192264	847	39536
192402	576	3961
192261	3920	3677
192263	3920	3841
192276	4397	3155
192275	188	3310
192279	3920	4835
192283	4397	4485
192282	4597	3083
192287	4597	3431
192285	847	4532
192278	847	3764
192284	847	3968
192288	847	3553
192286	4397	4417
192641	188	4653
192401	3980	4665
192289	4397	3701
192291	847	3467
192292	4397	3846
192294	4397	3967
192293	4397	4222
192297	4397	3560
192296	847	3248
192303	4397	4066
192300	4397	3918
192302	4397	4150
192299	847	3094
192301	847	3668
192298	847	3322
192304	847	3432
192307	3920	4944
192308	3980	3763
192306	4397	4131
192309	847	424
192316	4397	3676
192312	4597	3882
192317	3980	314
192313	0	501
192323	847	3434
192329	0	505
192526	847	3174
192281	847	3174
192310	181	4472
192315	847	4902
192314	3980	763
192311	847	4822
192320	847	3244
192319	847	3010
192318	3920	4473
192325	3980	3976
192322	4397	4896
192324	4397	3435
192326	3920	3157
192321	847	3352
192328	847	3585
192331	4397	3231
192333	847	140
192334	188	4139
192376	0	0
192391	847	4887
192305	847	3610
192336	847	3235
192338	188	3964
192339	3920	4249
192337	3980	4781
192342	847	3669
192348	188	4950
192345	4397	4343
192344	847	3912
192346	4397	3554
192349	4397	3670
192347	847	571
192352	4397	425
192353	181	3407
192355	4397	3458
192354	3980	3154
192350	0	502
192358	4597	3845
192359	4397	3671
192383	4397	3654
192351	847	3180
192382	847	3180
192384	4397	4912
192362	4397	131
192364	188	4917
192365	4397	4560
192360	0	4698
192367	847	4904
192363	3980	3420
192372	3980	3409
192371	4397	3064
192368	4397	4651
192377	4597	3590
192379	188	585
192378	847	3098
192375	181	3604
192374	847	3315
192385	847	3844
192277	3920	4226
192361	4397	4942
192380	4397	3609
192388	4597	3489
192387	181	3653
192386	4397	3981
192389	4397	3655
192390	3980	3607
192393	4597	229
192392	188	430
192395	4397	3066
192400	188	4143
192396	4397	3770
192398	847	3680
192399	4397	3558
192666	0	4624
192403	4397	3984
192410	188	3312
192412	0	0
192404	847	3985
192407	4397	3664
192405	4597	3095
192409	4597	3721
192408	181	3842
192406	4597	3209
192414	847	4130
192413	576	4316
192416	3980	3087
192417	4397	4419
192415	4397	4555
192418	188	3978
192426	4597	4938
192424	188	3428
192423	188	3760
192425	4397	4971
192555	4597	3461
192427	576	3177
192428	4395	4830
192431	4597	3089
192430	4597	227
